"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"47055",35573815,"Private Single Room in UWS near to Central Park",266522456,"Aaron","Manhattan","Upper West Side",40.80102,-73.96669,"Private room",60,1,3,"2019-07-02",3,3,130
"18525",14594441,"Excellent Studio Space",49562545,"Ella","Brooklyn","Williamsburg",40.70623,-73.94951,"Entire home/apt",99,1,187,"2019-06-23",5.43,2,39
"47403",35715791,"Elegant private bedroom in sunny modern home #1",101771985,"Yudis","Manhattan","Harlem",40.8076,-73.94886,"Private room",80,1,0,"",NA,3,127
"40056",31101775,"Apartment share close to train station",201015598,"Anchor","Brooklyn","Bedford-Stuyvesant",40.67862,-73.91233,"Shared room",27,1,4,"2019-06-10",0.63,17,89
"24626",19790344,"Spacious 1BR on the border of West Village/Chelsea",24861274,"Madison","Manhattan","Chelsea",40.73881,-73.99741,"Entire home/apt",200,2,24,"2019-07-01",1.14,1,20
"43163",33488188,"Private Room in Light-Filled Loft",2093557,"Sarah","Brooklyn","Bushwick",40.70149,-73.92752,"Private room",80,1,4,"2019-06-07",1.79,2,22
"20823",16490732,"Entire 3rd Fl in Brownstone steps to Prospect Park",107933494,"Josie","Brooklyn","Park Slope",40.66763,-73.97486,"Entire home/apt",260,3,17,"2019-05-29",0.6,2,309
"4685",3286369,"Close to JFK & LGA Feels like home",16608415,"Smidty","Brooklyn","East New York",40.67517,-73.89814,"Private room",135,1,173,"2019-07-02",4.69,3,162
"29340",22503477,"A comfy apartment",158461160,"Sophia","Brooklyn","Bedford-Stuyvesant",40.68124,-73.9456,"Entire home/apt",60,30,4,"2019-05-12",0.28,6,299
"16746",13380662,"Entire Floor/1 Min from N Train/Private Entrance",61393656,"Jamie","Brooklyn","Borough Park",40.62023,-73.99103,"Entire home/apt",73,1,65,"2019-06-22",3.49,1,3
"4627",3238517,"Brooklyn Cozy Garden Apt",16385595,"Ava","Brooklyn","Bedford-Stuyvesant",40.67994,-73.94318,"Private room",105,14,26,"2019-06-05",0.42,1,285
"41634",32365434,"The Luxury Spot!  Brooklyn Prime Location!",86005213,"Yaevette","Brooklyn","Crown Heights",40.67066,-73.94801,"Entire home/apt",150,3,2,"2019-06-30",2,1,70
"27380",21596854,"佳源家庭旅馆套房",157067019,"Ada","Queens","Flushing",40.76519,-73.82979,"Private room",85,1,5,"2019-06-03",0.27,3,85
"3488",2087524,"Private Parlour Floor",10656683,"Lorna","Brooklyn","Clinton Hill",40.68041,-73.95838,"Entire home/apt",99,4,74,"2019-06-11",1.93,1,261
"23763",19191340,"Spacious bedroom with living room in Greenpoint",23664115,"Becca","Brooklyn","Greenpoint",40.72591,-73.94826,"Private room",77,2,15,"2018-10-01",0.64,1,12
"17028",13526348,"Private Red Apple Brownstone Suite - Harlem NYC",7202412,"Ephraim","Manhattan","Harlem",40.81635,-73.94467,"Entire home/apt",115,4,119,"2019-06-20",3.21,4,45
"47730",35880571,"Enchanting Studio with Amenities",5910667,"Edward","Manhattan","Upper West Side",40.78549,-73.97188,"Entire home/apt",168,2,0,"",NA,1,46
"45389",34715542,"Bay Ridge private house",257034143,"Sophia","Brooklyn","Bay Ridge",40.62987,-74.02655,"Entire home/apt",200,2,1,"2019-07-07",1,2,179
"31232",24258555,"URBAN SPACE the Brooklyn Way!",160318374,"Giulia","Brooklyn","Bedford-Stuyvesant",40.67791,-73.92879,"Entire home/apt",103,30,42,"2019-05-10",2.91,2,139
"31872",24868751,"Large  room near Columbia University Med school",186155189,"Kyunam","Manhattan","Washington Heights",40.84332,-73.94131,"Private room",50,1,8,"2019-06-18",0.58,3,53
"45957",35005862,"Sonder | 21 Chelsea | Classic 1BR + Rooftop",219517861,"Sonder (NYC)","Manhattan","Chelsea",40.74288,-73.99438,"Entire home/apt",275,29,0,"",NA,327,365
"41016",31888319,"Gorgeous big room with Hudson river view",22188,"Laura","Manhattan","Upper West Side",40.78085,-73.98664,"Private room",130,2,0,"",NA,2,154
"29948",23054855,"Modern sun-filled 1 bed oasis- Graham Ave L train",7216788,"Pari","Brooklyn","Williamsburg",40.71563,-73.9398,"Entire home/apt",140,2,18,"2019-06-23",1.07,1,36
"5214",3767156,"Mid-Century Modern Garden Paradise",16351647,"Carmia And Joe","Brooklyn","Bushwick",40.6825,-73.90818,"Entire home/apt",149,2,234,"2019-06-23",3.9,1,255
"9455",7254986,"Country House in the City",3695529,"Jenni","Brooklyn","Carroll Gardens",40.68358,-73.99474,"Entire home/apt",600,5,12,"2019-05-16",0.25,2,174
"41405",32237138,"Sonder | Stock Exchange | Lively Studio + Kitchen",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70714,-74.01225,"Entire home/apt",203,2,7,"2019-06-24",1.88,327,338
"5521",4000621,"Hancock House cozy Garden Level",1542375,"Nicci & David","Brooklyn","Bedford-Stuyvesant",40.6835,-73.92754,"Entire home/apt",145,3,122,"2019-06-10",2.14,1,269
"27295",21551787,"Alluring Private Bedroom in Spacious UWS Apt",48087870,"Trevor","Manhattan","Upper West Side",40.79741,-73.9697,"Private room",150,2,27,"2019-06-09",1.33,1,63
"2997",1745658,"1 Bedroom in Greenwich Village",9187795,"James","Manhattan","Greenwich Village",40.73236,-73.9992,"Entire home/apt",260,5,13,"2018-10-25",0.21,1,167
"33299",26300797,"Luxury 4BR Home, Spacious & Central to Trains",197740847,"Nicole","Brooklyn","Crown Heights",40.67989,-73.96212,"Entire home/apt",250,3,30,"2019-06-16",2.56,1,114
"25573",20476397,"Bright & Comfy 2-BR in heart of Greenwich Village",8305981,"Gavin","Manhattan","Greenwich Village",40.73325,-73.99971,"Entire home/apt",350,2,34,"2019-05-26",1.52,1,10
"34497",27365033,"Large Room In Prestigious Neighborhood Of SI",18404082,"Alexander","Staten Island","Grymes Hill",40.6157,-74.0985,"Private room",89,1,1,"2018-11-04",0.12,1,65
"33267",26270906,"Perfect spot near Kennedy airport",119156699,"Marj","Queens","Briarwood",40.71309,-73.8155,"Shared room",73,1,2,"2019-05-20",0.21,1,90
"17865",13997552,"Modern 2-bedroom apartment near subway and parks",44502437,"Negra","Queens","Astoria",40.75687,-73.91597,"Entire home/apt",135,2,135,"2019-07-06",3.8,1,168
"336",83243,"Brooklyn Cove Studio Apt w/ Garden!!",453519,"Julian","Brooklyn","Bushwick",40.68949,-73.91708,"Entire home/apt",65,2,228,"2019-06-10",2.27,1,194
"3954",2461439,"Pristine Lower East Side Sanctuary",12586492,"Sausan","Manhattan","Lower East Side",40.72007,-73.98946,"Entire home/apt",133,14,177,"2019-05-03",2.82,2,221
"45616",34861069,"Hideaway in Morning-side Heights",18682781,"Dimitri","Manhattan","Harlem",40.82509,-73.9522,"Private room",75,1,4,"2019-06-30",2.55,1,90
"9716",7471933,"Brooklyn corner loft! Great views+elevator✌️",34315772,"Shawn","Brooklyn","Williamsburg",40.70414,-73.93408,"Entire home/apt",360,6,34,"2019-07-02",0.72,1,76
"3182",1897447,"Large Garden Apartment",9856784,"Cristobal","Brooklyn","Gowanus",40.68374,-73.98558,"Entire home/apt",145,3,266,"2019-07-02",4.49,1,224
"2761",1503618,"Private, quiet Antique room on first floor duplex",6457253,"Irene","Brooklyn","Sunset Park",40.66405,-73.9923,"Private room",66,2,4,"2019-05-12",0.08,1,365
"44493",34256727,"Private, Cozy Escape! Near all!",49216953,"Marina","Staten Island","Midland Beach",40.57568,-74.09522,"Entire home/apt",115,2,2,"2019-06-20",2,1,231
"1883",836720,"Brand New Bay House ",4372934,"Manuel Alberto","Queens","College Point",40.78417,-73.83875,"Entire home/apt",400,2,47,"2019-06-11",0.61,1,361
"515",187566,"Historic Brooklyn Studio Apartment",279078,"Andrew & Markus","Brooklyn","Bedford-Stuyvesant",40.69242,-73.95097,"Entire home/apt",99,2,187,"2019-06-10",1.97,2,287
"47637",35841291,"Large bedroom in super large elevator building",153313824,"Jeffrey","Manhattan","Inwood",40.86471,-73.92474,"Private room",100,1,0,"",NA,1,365
"29035",22338304,"Brand New, Furnished 1 bedroom apartment",160726948,"Mike","Manhattan","Kips Bay",40.74404,-73.97887,"Entire home/apt",100,30,6,"2019-04-01",0.45,2,271
"15100",12053637,"Forte Green Townhouse Room Rental",8456000,"Brian","Brooklyn","Clinton Hill",40.69619,-73.96944,"Private room",175,1,17,"2019-06-01",1.51,2,179
"19845",15890547,"Nice bedroom in lovely Greenpoint",19818873,"Aline","Brooklyn","Greenpoint",40.72311,-73.9411,"Private room",89,1,86,"2019-05-10",2.7,1,173
"1706",772679,"Very large, clean 1 BR apartment",4076876,"Tauheed","Manhattan","East Harlem",40.80343,-73.93514,"Entire home/apt",120,3,22,"2019-07-02",0.31,1,365
"27178",21485026,"Beautiful Room in Bushwick, Bk. (Hablo Español)",134419840,"Damary","Brooklyn","Bushwick",40.69242,-73.90441,"Private room",60,30,5,"2019-06-06",0.24,1,141
"4673",3278436,"UWS 2 BR 2 Ba. Gorgeous Apt!",7105630,"Christine","Manhattan","Upper West Side",40.78206,-73.97797,"Entire home/apt",330,4,11,"2017-11-25",0.18,1,260
"2159",995367,"1BR Apt as featured in New York Mag",412783,"Nick","Manhattan","Greenwich Village",40.73506,-73.99728,"Entire home/apt",334,11,14,"2018-05-29",0.24,1,238
"8901",6820637,"Modern 1 BR w/ Private Patio in Boerum Hill!",1153591,"Megan","Brooklyn","Boerum Hill",40.68724,-73.98596,"Entire home/apt",225,2,24,"2019-05-05",0.49,1,189
"11564",8993871,"Sunny bedroom with balcony, Queens",46979077,"Maya","Queens","Elmhurst",40.74085,-73.89022,"Private room",65,1,123,"2019-06-22",2.76,2,333
"10942",8440352,"Private bedroom in great LES spot",7137049,"Susie","Manhattan","Lower East Side",40.71323,-73.9878,"Private room",70,1,212,"2019-06-21",4.64,1,41
"41192",32042717,"Home Sweet Home",65786143,"Lisa","Brooklyn","Williamsburg",40.70572,-73.94501,"Private room",90,2,11,"2019-07-02",2.92,1,83
"41378",32224211,"Sonder | Stock Exchange | Calming 3BR + Sofa Bed",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70645,-74.01203,"Entire home/apt",503,2,5,"2019-06-22",1.34,327,315
"39054",30502914,"Family Suite Beautiful Brooklyn Home",208955733,"Candace","Brooklyn","East Flatbush",40.65441,-73.91995,"Private room",95,1,6,"2019-07-01",0.87,4,350
"33979",26911755,"Eclectic sun-filled LES one bedroom",16253164,"K","Manhattan","Lower East Side",40.71536,-73.98951,"Entire home/apt",110,5,3,"2019-03-16",0.28,1,1
"48443",36267904,"Gorgeous bedroom in Brooklyn close to Manhattan!",242573463,"Filipe","Brooklyn","Bedford-Stuyvesant",40.69684,-73.94257,"Private room",77,2,0,"",NA,7,168
"47606",35829570,"★ Easy Access to the Best of Brooklyn - Tree Top ★",393473,"Bobby","Brooklyn","Bedford-Stuyvesant",40.69221,-73.95168,"Entire home/apt",116,2,4,"2019-07-02",4,2,156
"9863",7592433,"Sunny & stylish 1 BR in Greenpoint",3751296,"Matt & Alex","Brooklyn","Greenpoint",40.72717,-73.94697,"Entire home/apt",139,2,21,"2016-10-03",0.45,1,188
"32848",25872255,"5min to JFK! Private 3 bedroom Apt-Whole 1st Floor",6754369,"Johann","Queens","Jamaica",40.69267,-73.80159,"Entire home/apt",340,1,10,"2018-10-31",0.78,4,82
"33684",26687229,"A real East Village experience on St Marks Place!",2326551,"Laura","Manhattan","East Village",40.7277,-73.98362,"Entire home/apt",140,1,38,"2019-06-23",3.27,2,101
"45444",34751113,"Spacious East Village/Alphabet City Apt",58484199,"Julia","Manhattan","East Village",40.72196,-73.98063,"Private room",98,3,1,"2019-06-11",1,1,158
"46057",35054863,"Summer in a sunny, top floor twin",229386490,"Tj","Brooklyn","Bedford-Stuyvesant",40.68425,-73.92503,"Private room",45,2,5,"2019-06-26",4.29,3,257
"22300",17992512,"Charming Suite in Historic Home",74282739,"David","Staten Island","Stapleton",40.62919,-74.08107,"Entire home/apt",70,1,177,"2019-06-24",7.12,1,230
"19155",15230938,"Bluebird Lavish 2-BR Apt Within Mile of Times Sq.",95459395,"Bluebird","Manhattan","Hell's Kitchen",40.7602,-73.998,"Entire home/apt",748,30,0,"",NA,18,185
"5860",4274595,"Garden Oasis Apartment - 2 bedroom",22088164,"Julia","Manhattan","East Harlem",40.80751,-73.94097,"Entire home/apt",200,3,162,"2019-06-15",2.84,1,208
"32730",25786000,"Explorer's Apartment",193791518,"Micheal","Manhattan","Midtown",40.75565,-73.96722,"Entire home/apt",186,3,45,"2019-07-06",3.8,1,219
"23587",19083282,"纽约干净大房近地铁站",51698646,"Ivy","Queens","Sunnyside",40.74242,-73.92597,"Private room",40,10,1,"2018-02-15",0.06,1,2
"18046",14133414,"Space to rest near LaGuardia Airport",37312959,"Maya","Queens","East Elmhurst",40.77009,-73.87708,"Private room",32,1,411,"2019-07-04",11.4,5,161
"41644",32377751,"Central Location in NYC - Walk to Central Park",38483415,"Florentino","Manhattan","East Harlem",40.80108,-73.94602,"Private room",79,1,9,"2019-05-25",2.23,4,365
"26011",20761296,"Huge Room in Beautiful New Renovated Apartment",146030957,"Bryan","Queens","Astoria",40.77028,-73.92112,"Private room",45,5,20,"2019-06-19",0.89,1,16
"22184",17863000,"Greenpoint, BK 1 Bedroom, Couple/Solo Traveler",451032,"Daniela","Brooklyn","Greenpoint",40.72428,-73.94686,"Entire home/apt",120,3,8,"2019-06-21",1.28,1,3
"10127",7768661,"Brand new Manhattan Apartment sleeps 7!",39921605,"Rachel","Manhattan","Upper West Side",40.80328,-73.96898,"Entire home/apt",238,30,14,"2019-04-03",0.31,5,91
"47792",35916489,"Sun-drenched LGBT Cozy Private QueenRoom @Bushwick",135563904,"Michael","Queens","Ridgewood",40.7055,-73.9096,"Private room",180,1,2,"2019-07-01",2,3,78
"21395",17075535,"Lovely, private studio apartment near Manhattan.",114552571,"John","Staten Island","St. George",40.64332,-74.08283,"Entire home/apt",120,2,116,"2019-07-05",4,1,191
"38734",30389309,"Spacious Midtown East 1BR, Balcony, Doorman + Gym by Blueground",107434423,"Blueground","Manhattan","Kips Bay",40.74072,-73.97794,"Entire home/apt",307,30,0,"",NA,232,333
"39140",30538753,"Beauitful spacious Loft apartment",854567,"Oketo","Brooklyn","Bedford-Stuyvesant",40.69202,-73.95456,"Private room",1350,21,0,"",NA,2,365
"35098",27832008,"Private 1BR with Private Bathroom feet from subway",104607422,"Tunde","Manhattan","Harlem",40.83005,-73.93992,"Entire home/apt",119,1,29,"2019-06-30",3.02,1,103
"35838",28440536,"Chelsea Cabin",20480351,"David","Manhattan","Chelsea",40.7404,-73.99485,"Entire home/apt",200,3,21,"2019-06-20",2.4,1,42
"3108",1843955,"Spacious Midtown Manhattan room",9634183,"Ayse Sera","Manhattan","Midtown",40.76129,-73.96869,"Entire home/apt",280,3,21,"2016-10-12",0.34,1,98
"328",80684,"Duplex w/ Terrace @ Box House Hotel",417504,"The Box House Hotel","Brooklyn","Greenpoint",40.73776,-73.95327,"Private room",349,3,8,"2016-03-27",0.09,28,60
"17822",13973268,"Simple room in the heart of Bed Stuy",48581287,"Lydia","Brooklyn","Bedford-Stuyvesant",40.68583,-73.94112,"Entire home/apt",83,1,7,"2019-05-20",0.43,1,37
"24851",19930835,"Cozy And Quiet Single Room  (003) A/c in sunmmer",137999892,"Simranjeet","Staten Island","Concord",40.60618,-74.08712,"Private room",33,3,29,"2019-06-09",1.3,7,356
"37225",29575293,"""Cabin"" —Private Queen Bedroom in Jungly Apartment",41704832,"Ben","Brooklyn","Bushwick",40.69663,-73.91226,"Private room",85,1,29,"2019-07-05",5.65,1,82
"21743",17478780,"The Perfect Queens Getaway!",118400082,"Jairo","Queens","Corona",40.74122,-73.85334,"Entire home/apt",149,2,51,"2019-06-30",1.9,1,242
"48045",36057923,"Cozy room in Brooklyn, Park Slope",52587835,"Lorrayne","Brooklyn","Sunset Park",40.65989,-73.99336,"Private room",42,3,0,"",NA,1,24
"43893",33932313,"Sunny Private BR in Ridgewood Woodbine",242962235,"Yuval","Queens","Ridgewood",40.70876,-73.89704,"Private room",34,30,0,"",NA,23,322
"23169",18753645,"Beautiful Brooklyn Apartment! Newly Renovated!",130473272,"Carla","Brooklyn","Prospect Heights",40.6806,-73.97164,"Entire home/apt",150,2,140,"2019-06-27",5.61,1,94
"19914",15956780,"Cozy private room in nice neighborhood Brooklyn",103611863,"Lucy","Brooklyn","Gravesend",40.59744,-73.96964,"Private room",40,2,7,"2019-01-04",0.22,1,318
"43823",33900546,"The Green Place",101790764,"Zabi","Queens","Long Island City",40.74895,-73.9474,"Entire home/apt",199,2,6,"2019-06-22",2.81,2,175
"34024",26948057,"Central Park West Luxury One bedroom with Balcony",17477908,"Mat","Manhattan","Upper West Side",40.79514,-73.96687,"Entire home/apt",250,30,1,"2018-09-02",0.1,10,205
"39258",30592647,"Private Bedroom w/ Bunk Bed - Great for Friends!",227679456,"Jimmy","Brooklyn","Prospect-Lefferts Gardens",40.66065,-73.94116,"Private room",55,1,20,"2019-06-17",2.82,7,53
"18610",14710763,"Home Base, Minutes to Manhattan!!!",91522394,"Angelika","Brooklyn","Bedford-Stuyvesant",40.69532,-73.94407,"Entire home/apt",145,2,133,"2019-06-24",3.83,1,178
"45400",34718463,"Mott Haven Dorm DD",30509656,"Orit","Bronx","Port Morris",40.80996,-73.93172,"Shared room",28,1,2,"2019-05-21",1.15,8,365
"462",162508,"Beautiful Brooklyn Oasis ",776645,"Placid","Brooklyn","Crown Heights",40.67212,-73.9506,"Entire home/apt",130,2,29,"2019-06-28",0.35,1,119
"5656",4121363,"Large Garden Alcove Studio Apartment in Manhattan",21380762,"Rachel","Manhattan","East Harlem",40.80738,-73.93707,"Entire home/apt",75,30,6,"2019-05-22",0.12,1,203
"44419",34209710,"Cozy Room for Female Guests/ just 30sec to Subway!",63834320,"Minami & Takuya","Brooklyn","Bushwick",40.70058,-73.91123,"Private room",65,2,8,"2019-07-07",3.93,1,19
"34654",27491339,"Comfortable Duplex Studio with Balcony! Near train",120643397,"Rachel","Brooklyn","Midwood",40.62258,-73.97398,"Entire home/apt",139,2,41,"2019-07-07",3.7,1,62
"32317",25288200,"The Luna’s apartment",70007560,"Juan","Manhattan","East Harlem",40.7919,-73.94562,"Private room",85,4,25,"2019-06-30",1.91,2,90
"14430",11320246,"Room for rent in East Village",47625541,"Jeff","Manhattan","East Village",40.72152,-73.97999,"Private room",65,2,4,"2016-07-21",0.1,2,1
"35564",28226667,"BP- BEAUTIFUL COZY  ROOM FOR 2 NEAR MANHATTAN wifi",213208277,"Darry","Brooklyn","Borough Park",40.64189,-73.99357,"Private room",60,5,5,"2019-07-01",0.53,8,364
"42196",32757476,"Apartment 2",245394439,"Joyce","Manhattan","Harlem",40.80299,-73.95443,"Entire home/apt",181,2,15,"2019-07-01",4.21,1,22
"38606",30352538,"Spacious Garden Studio",51964207,"Brooke","Brooklyn","Williamsburg",40.70946,-73.96567,"Entire home/apt",140,3,7,"2019-06-09",1.42,1,3
"23179",18766576,"Nicer than average - on best block in Wash.Heights",130582015,"Allison","Manhattan","Washington Heights",40.85391,-73.93649,"Private room",50,3,18,"2019-06-23",1.78,1,298
"23294",18865511,"Bed Stuy Private Room - Hip Brooklyn Neighborhood",1652471,"Sarah","Brooklyn","Bedford-Stuyvesant",40.68607,-73.95784,"Private room",75,2,5,"2018-01-07",0.2,1,16
"34518",27373536,"Historic Greenpoint Loft 2,000sqft",6776218,"Raymond","Brooklyn","Greenpoint",40.7308,-73.95775,"Entire home/apt",650,4,1,"2019-06-09",1,1,168
"27196",21491135,"Diamond Peach",19708200,"Larry","Brooklyn","Canarsie",40.63895,-73.91606,"Entire home/apt",65,3,65,"2019-06-20",3.19,3,305
"17725",13914201,"❤️Gorgeous Townhouse Apt - 2 blocks from subway",324628,"Lisa","Manhattan","Harlem",40.80403,-73.95125,"Entire home/apt",160,30,122,"2019-05-26",3.52,1,179
"38834",30399972,"Charming room Newly Renovated Apt30 mins from city",228268188,"Motlaq","Brooklyn","Borough Park",40.62801,-74.00328,"Private room",65,1,7,"2019-05-21",1,1,351
"28854",22262419,"AWESOME VIEWS * COLUMBUS CIRCLE * Pool/Gym/Balcony",13773574,"Cecile","Manhattan","Midtown",40.76518,-73.98287,"Entire home/apt",225,30,0,"",NA,12,343
"21630",17358323,"Private Apt Near NYC Airport & Northshore Hospital",65232368,"Adisson","Queens","Douglaston",40.76978,-73.73915,"Entire home/apt",99,1,49,"2019-06-30",1.7,1,247
"24828",19913761,"Brand NEW & SIMPLE apt in quiet Chinatown",6862083,"Mischa","Manhattan","Two Bridges",40.71136,-73.99391,"Private room",110,3,1,"2018-09-28",0.11,1,350
"47145",35608298,"High Floor two Bed One Bath",221200420,"Adam","Manhattan","Murray Hill",40.74424,-73.97272,"Entire home/apt",190,30,0,"",NA,23,343
"46526",35289004,"BEST LOCATION IN SUNNYSIDE-15 MINUTES TO MANHATTAN",119846581,"Annmarie","Queens","Sunnyside",40.74338,-73.92191,"Entire home/apt",78,2,7,"2019-06-22",6.56,1,129
"37409",29684573,"Nice Cozy Room In Brooklyn On A Dead End Block",31039254,"Sean","Brooklyn","East Flatbush",40.64843,-73.93549,"Private room",45,1,8,"2019-07-07",5,1,334
"40358",31293545,"Sunny Hamilton Heights Apartment",3951033,"Folami","Manhattan","Harlem",40.83032,-73.9421,"Entire home/apt",120,5,7,"2019-06-08",1.69,1,84
"35256",27957371,"Agate Bedroom",119669058,"Melissa","Brooklyn","Bedford-Stuyvesant",40.69448,-73.95696,"Private room",43,2,20,"2019-06-12",1.96,34,344
"15050",12003048,"Sleek 1 bedroom apt. near Times Square!",30283594,"Kara","Manhattan","Hell's Kitchen",40.76685,-73.98363,"Entire home/apt",239,30,0,"",NA,121,352
"21267",16899058,"The ❤️ of SoHo: Adorable 2 br // event space",112780904,"Milly","Manhattan","SoHo",40.7255,-74.00258,"Entire home/apt",459,1,61,"2019-07-01",2.04,1,173
"40288",31237727,"Luxurious + Chic Upper East Studio",23069554,"Lillian","Manhattan","Upper East Side",40.76765,-73.95892,"Entire home/apt",115,3,9,"2019-07-05",1.6,1,19
"3699",2228840,"Cozy and homey railroad in bushwick",11375556,"Carly & Sebastian","Brooklyn","Bushwick",40.70054,-73.92374,"Entire home/apt",100,3,10,"2019-01-01",0.15,1,10
"5767",4204083,"The White House",21811394,"Hazel","Brooklyn","Bedford-Stuyvesant",40.6789,-73.94001,"Entire home/apt",129,1,223,"2019-06-20",3.91,1,230
"37088",29487530,"Spacious Modern 1BR Living by NÔM Living",732460,"Nôm","Brooklyn","Williamsburg",40.70878,-73.96622,"Entire home/apt",120,30,1,"2018-12-21",0.15,7,108
"11755",9138664,"Private Lg Room 15 min to Manhattan",47594947,"Iris","Queens","Sunnyside",40.74271,-73.92493,"Private room",74,2,6,"2019-05-26",0.13,1,5
"14821",11738831,"Spacious 1 BDRM near Central Park",25116430,"Michael","Manhattan","Upper East Side",40.77559,-73.95263,"Entire home/apt",140,1,183,"2019-06-05",4.56,1,63
"33822",26789136,"Huge, Bright Bushwick 3 Bedroom blocks from train",201079770,"HyeSuk & Alex","Brooklyn","Bedford-Stuyvesant",40.69516,-73.93213,"Private room",170,5,3,"2019-03-29",0.44,4,167
"38397",30231630,"15 Min to Manhattan, 10 Min to LGA - Cozy Home",227037845,"Mustak And Farzana","Queens","Maspeth",40.7385,-73.9065,"Entire home/apt",99,1,43,"2019-07-04",5.73,1,231
"45305",34664546,"private room w/ separate entrance in quiet area",4259761,"Kiwa","Queens","Flushing",40.77257,-73.80125,"Private room",45,30,0,"",NA,1,326
"19003",15090815,"The comfy spot away from home",89873907,"Christine","Brooklyn","Cypress Hills",40.68004,-73.88709,"Private room",51,3,0,"",NA,1,317
"34361",27249535,"**Harmony Room with Bed and Futon**",205234874,"Petera","Brooklyn","Bedford-Stuyvesant",40.69128,-73.94311,"Private room",60,2,24,"2019-06-21",2.22,2,360
"26590",21158775,"The Notorious B.N.B. { The Shasha }",1177497,"Jessica","Brooklyn","Clinton Hill",40.69075,-73.9677,"Private room",319,1,52,"2019-06-10",2.48,11,365
"10519",8068089,"Cozy One Bedroom-Lower East Side",7890158,"Matthew","Manhattan","Lower East Side",40.71373,-73.98465,"Entire home/apt",80,3,16,"2018-11-05",0.34,1,1
"39819",30950818,"1 Bedroom, Comfortable Large Brownstone apt",85165113,"LaTasha","Brooklyn","Bedford-Stuyvesant",40.68358,-73.91775,"Entire home/apt",50,3,11,"2019-07-03",1.69,2,26
"16199",13073701,"Lovely Charming and quiet 2 bed apartment",35660592,"Luis","Queens","Corona",40.75058,-73.8535,"Entire home/apt",119,2,37,"2019-07-02",1.01,6,336
"46303",35189403,"Modern Cozy UES apartment",56341179,"Eric","Manhattan","Upper East Side",40.76738,-73.95556,"Entire home/apt",125,31,0,"",NA,1,280
"26879",21308590,"Newly Renovated Studio Apt",146933726,"Isaac","Brooklyn","Crown Heights",40.6654,-73.94864,"Entire home/apt",120,1,49,"2019-06-24",2.4,1,276
"29351",22513363,"AMAZING Greenpoint/Williamsburg PRIVATE Room",2818775,"Elena","Brooklyn","Greenpoint",40.73304,-73.95125,"Private room",75,1,16,"2019-05-19",1.08,1,280
"24429",19670522,"Garden Bedroom w/Private Bath in Crown Heights 2MB",17555570,"Yan","Brooklyn","Crown Heights",40.66886,-73.92333,"Private room",62,1,69,"2019-07-02",2.83,12,65
"30176",23285672,"Quarto Bronx (NY)",136455880,"Alvina Da Silva","Bronx","Fordham",40.86918,-73.8905,"Private room",34,1,2,"2018-04-05",0.12,2,5
"28218",21972697,"Newly private room in best Co-Living",159811367,"Sergii","Brooklyn","Bedford-Stuyvesant",40.6926,-73.94076,"Private room",50,30,4,"2018-03-08",0.21,10,364
"48713",36395366,"Deluxe Bedroom w/ 2 Beds - 3 stops to Times Square",268796947,"Derreck","Queens","Long Island City",40.75415,-73.93144,"Private room",89,1,0,"",NA,5,358
"14454",11352664,"Gated Manhattan Enclave",26024758,"Sabia","Manhattan","East Harlem",40.81357,-73.93575,"Entire home/apt",95,2,74,"2019-06-02",1.85,1,92
"22823",18481196,"Studio in Chelsea",1750685,"Shayan","Manhattan","Chelsea",40.74569,-73.99687,"Entire home/apt",200,1,12,"2019-03-06",0.6,1,8
"29229",22434082,"Cozy West Village Apartment",164318938,"Noni","Manhattan","West Village",40.73248,-74.00053,"Entire home/apt",225,1,29,"2019-06-23",1.72,1,14
"27813",21804933,"Комната. Место в комнате",32168079,"Ivan","Brooklyn","Sheepshead Bay",40.58612,-73.95014,"Private room",50,30,0,"",NA,3,166
"30913",23942226,"Bushwick Room w Private Bath, 1 Block to Subway",37806504,"Michelle","Brooklyn","Bushwick",40.70072,-73.91359,"Private room",60,3,50,"2019-05-18",3.33,1,85
"30116",23219361,"Cozy Studio near South Beach :-)",59966705,"Arek","Staten Island","Arrochar",40.59078,-74.07504,"Entire home/apt",71,2,30,"2019-06-14",1.8,1,306
"36775",29228604,"2 bedroom CONDO off 5th Ave - BRIGHT and homey",220197047,"Sara And Hila","Manhattan","East Harlem",40.80173,-73.94517,"Entire home/apt",280,30,32,"2019-07-02",3.69,1,112
"32049",25029794,"East Village gem",17145227,"Ola","Manhattan","East Village",40.72458,-73.98822,"Entire home/apt",206,5,3,"2019-01-02",0.22,1,12
"15126",12083625,"Plush Studio Apartment in Midtown West NYC",30283594,"Kara","Manhattan","Hell's Kitchen",40.76626,-73.98342,"Entire home/apt",129,30,0,"",NA,121,133
"38599",30349105,"Entire studio Central Park west",4431107,"Ally","Manhattan","West Village",40.73034,-74.01022,"Entire home/apt",200,1,0,"",NA,3,158
